evid,station,abs_time,grade,envelope_size,noise_rms,maxamp,snr,practical_noise_lvl,practical_snr
770207-13-N8,geo4,1977-02-07T13:46:30,D,1,0.0014214662369340658,0.005658404435962439,4.0,0.005658404435962439,1.0
770207-13-M3,geo3,1977-02-07T13:51:08,C,1,0.0011987860780209303,0.00537134800106287,4.5,0.004577885381877422,1.2
770207-13-M3,geo1,1977-02-07T13:51:09,C,1,0.0010690914932638407,0.004412847571074963,4.1,0.003462020540609956,1.3
770207-13-N2,geo2,1977-02-07T13:54:57,D,1,0.001076608314178884,0.004011501092463732,3.7,0.004622513893991709,0.9
770207-14-M1,geo3,1977-02-07T14:03:21,A,1,0.0012428680201992393,0.003955292049795389,3.2,0.004390517249703407,0.9
770207-14-M1,geo4,1977-02-07T14:03:22,A,1,0.001347263460047543,0.005328115541487932,4.0,0.005698205437511206,0.9
770207-14-M1,geo2,1977-02-07T14:03:23,A,1,0.0011408681748434901,0.004663113504648209,4.1,0.005009803920984268,0.9
770207-14-M1,geo1,1977-02-07T14:03:40,A,1,0.0011959347175434232,0.004895173478871584,4.1,0.004540090914815664,1.1
770207-14-M4,geo2,1977-02-07T14:10:56,C,1,0.0010194136993959546,0.0046235849149525166,4.5,0.0036282793153077364,1.3
770207-14-M4,geo3,1977-02-07T14:10:57,C,1,0.0010863966308534145,0.0060280743055045605,5.5,0.004528074525296688,1.3
770207-14-N2,geo4,1977-02-07T14:17:55,D,1,0.0014154367381706834,0.004106820095330477,2.9,0.005316480062901974,0.8
770207-14-M2,geo1,1977-02-07T14:20:24,B,63,0.0009857924887910485,0.009606340900063515,9.7,0.0032786577939987183,2.9
770207-14-M2,geo3,1977-02-07T14:20:25,B,49,0.0011451075552031398,0.009571924805641174,8.4,0.00518691586330533,1.8
770207-14-M2,geo4,1977-02-07T14:20:33,B,16,0.001768197980709374,0.010928214527666569,6.2,0.010481102392077446,1.0
770207-14-N1,geo3,1977-02-07T14:26:22,D,1,0.0011563013540580869,0.004172405693680048,3.6,0.004670943133533001,0.9
770207-14-N3,geo4,1977-02-07T14:38:51,D,1,0.001284340862184763,0.004525008611381054,3.5,0.004528214689344168,1.0
770207-14-N4,geo4,1977-02-07T14:49:35,D,1,0.0015489972429350019,0.005322406068444252,3.4,0.005905786529183388,0.9
770207-14-N5,geo4,1977-02-07T14:51:12,D,1,0.0013966388069093227,0.004885475616902113,3.5,0.005228214431554079,0.9
770207-14-M3,geo1,1977-02-07T14:54:45,A,101,0.0008308254182338715,0.01798619143664837,21.6,0.003232936840504408,5.6
770207-14-M3,geo2,1977-02-07T14:54:46,A,79,0.0010174302151426673,0.014823585748672485,14.6,0.0036273126024752855,4.1
770207-14-M3,geo4,1977-02-07T14:54:47,A,79,0.0011687071528285742,0.023482663556933403,20.1,0.003854969749227166,6.1
770207-14-M3,geo3,1977-02-07T14:54:49,A,80,0.0010616709478199482,0.01984385959804058,18.7,0.003971925470978022,5.0
770207-15-N5,geo3,1977-02-07T15:02:03,D,1,0.001189607661217451,0.005362437106668949,4.5,0.005237562581896782,1.0
770207-15-M1,geo1,1977-02-07T15:05:15,B,1,0.001068023149855435,0.004664881620556116,4.4,0.0038351183757185936,1.2
770207-15-M1,geo2,1977-02-07T15:05:19,B,1,0.0011814790777862072,0.003984332550317049,3.4,0.005030275788158178,0.8
770207-15-M1,geo3,1977-02-07T15:05:19,B,1,0.0012807395542040467,0.004994571674615145,3.9,0.004456013441085815,1.1
770207-15-M2,geo4,1977-02-07T15:09:19,B,1,0.0013530623400583863,0.0060222214087843895,4.5,0.00506940670311451,1.2
770207-15-M2,geo1,1977-02-07T15:09:20,B,1,0.0010993076721206307,0.004664881620556116,4.2,0.004411508794873953,1.1
770207-15-M2,geo3,1977-02-07T15:09:21,B,1,0.0011791130527853966,0.005289820954203606,4.5,0.004001319874078035,1.3
770207-15-N1,geo2,1977-02-07T15:10:57,D,1,0.0014949425822123885,0.005372683517634869,3.6,0.005372683517634869,1.0
770207-15-M3,geo4,1977-02-07T15:19:05,A,1,0.001118920394219458,0.005155352409929037,4.6,0.00466528395190835,1.1
770207-15-M3,geo1,1977-02-07T15:19:06,A,1,0.0009491020464338362,0.005710877478122711,6.0,0.002835118444636464,2.0
770207-15-M3,geo2,1977-02-07T15:19:09,A,1,0.0010780830634757876,0.005182758439332247,4.8,0.005182758439332247,1.0
770207-15-M3,geo3,1977-02-07T15:19:09,A,1,0.0011838433565571904,0.004537562839686871,3.8,0.004537562839686871,1.0
770207-15-M4,geo3,1977-02-07T15:24:44,C,1,0.0012395461089909077,0.006037562619894743,4.9,0.005292133428156376,1.1
770207-15-M4,geo2,1977-02-07T15:24:49,C,1,0.0011259469902142882,0.005604422651231289,5.0,0.004623166285455227,1.2
770207-15-M5,geo2,1977-02-07T15:29:54,B,1,0.0010572642786428332,0.005005492828786373,4.7,0.003876833710819483,1.3
770207-15-M5,geo4,1977-02-07T15:29:55,B,1,0.001410998054780066,0.005648914258927107,4.0,0.00523471599444747,1.1
770207-15-M5,geo3,1977-02-07T15:30:00,B,1,0.0012670422438532114,0.004046755842864513,3.2,0.004537562839686871,0.9
770207-15-N7,geo4,1977-02-07T15:31:07,D,1,0.0013265364104881883,0.00523471599444747,3.9,0.00523471599444747,1.0
770207-15-N8,geo4,1977-02-07T15:37:44,D,1,0.0015820658300071955,0.00570357171818614,3.6,0.0058545805513858795,1.0
770207-15-N6,geo3,1977-02-07T15:38:29,D,1,0.0013453036081045866,0.003332457272335887,2.5,0.004537562839686871,0.7
770207-15-N2,geo2,1977-02-07T15:41:44,D,1,0.0009078401490114629,0.00448856595903635,4.9,0.003876833710819483,1.2
770207-15-N3,geo2,1977-02-07T15:50:42,D,1,0.001093770726583898,0.005276833660900593,4.8,0.005276833660900593,1.0
770207-15-N4,geo2,1977-02-07T15:54:36,D,1,0.0011332887224853039,0.005276833660900593,4.7,0.004929941147565842,1.1
770207-16-N5,geo4,1977-02-07T16:02:39,D,1,0.0015269238501787186,0.0046061682514846325,3.0,0.005892721936106682,0.8
770207-16-N6,geo4,1977-02-07T16:14:42,D,1,0.0013254224322736263,0.004666462540626526,3.5,0.005684492643922567,0.8
770207-16-M1,geo3,1977-02-07T16:23:38,C,1,0.0010450573172420263,0.005913471803069115,5.7,0.003832126036286354,1.5
770207-16-M1,geo1,1977-02-07T16:23:41,C,1,0.0011338534532114863,0.0044347625225782394,3.9,0.003464973531663418,1.3
770207-16-N7,geo4,1977-02-07T16:25:27,D,1,0.0012458990095183253,0.004666462540626526,3.7,0.0045335376635193825,1.0
770207-16-M2,geo4,1977-02-07T16:35:39,B,1,0.0010393240954726934,0.005233537405729294,5.0,0.005233537405729294,1.0
770207-16-M2,geo2,1977-02-07T16:35:45,B,1,0.0009303047554567456,0.003421278204768896,3.7,0.004085524473339319,0.8
770207-16-M2,geo1,1977-02-07T16:35:54,B,1,0.001092477235943079,0.004535026848316193,4.2,0.0033350265584886074,1.4
770207-16-N3,geo2,1977-02-07T16:46:00,D,1,0.0011927291052415967,0.00379978702403605,3.2,0.004335096571594477,0.9
770207-16-M3,geo4,1977-02-07T16:46:16,C,1,0.0012958520092070103,0.005015643313527107,3.9,0.0050385259091854095,1.0
770207-16-M3,geo1,1977-02-07T16:46:42,C,1,0.0013672537170350552,0.005282566417008638,3.9,0.0049879406578838825,1.1
770207-16-N1,geo1,1977-02-07T16:49:02,D,1,0.00110610609408468,0.004497855436056852,4.1,0.0042879353277385235,1.0
770207-16-N8,geo4,1977-02-07T16:52:39,D,1,0.0012684839311987162,0.0050820051692426205,4.0,0.004408753011375666,1.2
770207-16-N4,geo2,1977-02-07T16:53:46,D,1,0.0010633404599502683,0.004455117508769035,4.2,0.0038918007630854845,1.1
770207-16-N2,geo1,1977-02-07T16:55:27,D,1,0.0011974589433521032,0.0038350264076143503,3.2,0.003964973147958517,1.0
770207-16-N9,geo4,1977-02-07T16:55:58,D,1,0.0014656276907771826,0.005233537405729294,3.6,0.005233537405729294,1.0
770207-17-N1,geo2,1977-02-07T17:02:20,D,1,0.001200093887746334,0.00441788462921977,3.7,0.004578940570354462,1.0
770207-17-N2,geo2,1977-02-07T17:14:38,D,1,0.00108789699152112,0.00420426158234477,3.9,0.003878940362483263,1.1
770207-17-N3,geo2,1977-02-07T17:18:54,D,1,0.001044569187797606,0.005278940312564373,5.1,0.005278940312564373,1.0
770207-17-N4,geo2,1977-02-07T17:22:58,D,1,0.0011659879237413406,0.006078940350562334,5.2,0.006078940350562334,1.0
770207-17-M3,geo4,1977-02-07T17:25:09,C,1,0.0014240264426916838,0.00467042438685894,3.3,0.004529575817286968,1.0
770207-17-M3,geo3,1977-02-07T17:25:17,C,1,0.0012596064480021596,0.00436814920976758,3.5,0.003830582369118929,1.1
770207-17-N5,geo2,1977-02-07T17:35:39,D,1,0.001083684153854847,0.004292490892112255,4.0,0.0038822838105261326,1.1
770207-17-N8,geo4,1977-02-07T17:39:07,D,1,0.0013457929017022252,0.00522957555949688,3.9,0.00522957555949688,1.0
770207-17-M1,geo4,1977-02-07T17:44:47,B,1,0.0012330359313637018,0.004715924616903067,3.8,0.004715924616903067,1.0
770207-17-M1,geo1,1977-02-07T17:44:53,B,20,0.0008557612891308963,0.006034921854734421,7.1,0.003376452950760722,1.8
770207-17-M1,geo3,1977-02-07T17:45:00,B,1,0.0010898758191615343,0.004669417627155781,4.3,0.004095807205885649,1.1
770207-17-N6,geo2,1977-02-07T17:51:40,D,1,0.0011916639050468802,0.003421059576794505,2.9,0.005321059376001358,0.6
770207-17-N7,geo2,1977-02-07T17:53:56,D,1,0.0010211021872237325,0.003921059425920248,3.8,0.003921059425920248,1.0
770207-17-M2,geo2,1977-02-07T17:55:16,A,1,0.0008464630809612572,0.004619749262928963,5.5,0.003878940362483263,1.2
770207-17-M2,geo3,1977-02-07T17:55:18,A,11,0.0011041373945772648,0.006394021213054657,5.8,0.003969417419284582,1.6
770207-17-M2,geo1,1977-02-07T17:55:20,A,17,0.0010220567928627133,0.006034921854734421,5.9,0.003659697249531746,1.6
770207-17-M2,geo4,1977-02-07T17:55:20,A,17,0.0011240316089242697,0.006620844826102257,5.9,0.00471712090075016,1.4
770207-18-M1,geo2,1977-02-07T18:10:32,A,1,0.0010755863040685654,0.006305319722741842,5.9,0.006305319722741842,1.0
770207-18-M1,geo4,1977-02-07T18:10:37,A,1,0.001290509244427085,0.005230146460235119,4.1,0.005369853228330612,1.0
770207-18-M1,geo3,1977-02-07T18:10:38,A,125,0.0010578675428405404,0.011925523169338703,11.3,0.0033265447709709406,3.6
770207-18-M1,geo1,1977-02-07T18:10:42,A,124,0.0009533452102914453,0.011069850996136665,11.6,0.0038301488384604454,2.9
770207-18-M2,geo2,1977-02-07T18:16:46,A,1,0.0010269377380609512,0.004571949131786823,4.5,0.004208059050142765,1.1
770207-18-M2,geo4,1977-02-07T18:16:48,A,1,0.0012116426369175315,0.005655734799802303,4.7,0.004669853486120701,1.2
770207-18-M2,geo3,1977-02-07T18:16:54,A,1,0.0011264635249972343,0.004792541731148958,4.3,0.0039734551683068275,1.2
770207-18-M2,geo1,1977-02-07T18:16:59,A,73,0.000887000176589936,0.006027652882039547,6.8,0.0030956431291997433,1.9
770207-18-M5,geo4,1977-02-07T18:26:08,C,1,0.001350671867839992,0.004669853486120701,3.5,0.005838839337229729,0.8
770207-18-M5,geo3,1977-02-07T18:26:27,C,1,0.0013858256861567497,0.007060170639306307,5.1,0.0061646089889109135,1.1
770207-18-N1,geo2,1977-02-07T18:30:08,D,1,0.0011767366668209434,0.003813842311501503,3.2,0.004323469940572977,0.9
770207-18-N2,geo4,1977-02-07T18:30:59,D,1,0.001255704089999199,0.004869008436799049,3.9,0.004177038092166185,1.2
770207-18-M6,geo4,1977-02-07T18:40:22,C,1,0.0013054270530119538,0.0045301467180252075,3.5,0.004914316348731518,0.9
770207-18-M6,geo3,1977-02-07T18:40:49,C,1,0.0012081124586984515,0.0034734553191810846,2.9,0.004457295872271061,0.8
770207-18-M3,geo2,1977-02-07T18:45:00,A,1,0.0010499571217224002,0.00493195466697216,4.7,0.00493195466697216,1.0
770207-18-M3,geo3,1977-02-07T18:45:02,A,1,0.001210541813634336,0.007026544772088528,5.8,0.004673455376178026,1.5
770207-18-M3,geo4,1977-02-07T18:45:03,A,47,0.001382860355079174,0.010930147022008896,7.9,0.005766771733760834,1.9
770207-18-M3,geo1,1977-02-07T18:45:08,A,61,0.0010669163893908262,0.00943014957010746,8.8,0.0034698511008173227,2.7
770207-18-N3,geo4,1977-02-07T18:53:18,D,1,0.001362855196930468,0.00522706750780344,3.8,0.005205302964895964,1.0
770207-18-M4,geo1,1977-02-07T18:54:37,A,1,0.0010953705059364438,0.005230148788541555,4.8,0.004323996603488922,1.2
770207-18-M4,geo2,1977-02-07T18:54:38,A,79,0.0010260178241878748,0.007422847207635641,7.2,0.0038719491567462683,1.9
770207-18-M4,geo3,1977-02-07T18:54:40,A,63,0.001245002495124936,0.008273455314338207,6.6,0.0052265445701777935,1.6
770207-18-M4,geo4,1977-02-07T18:54:40,A,5,0.0013091576984152198,0.007030146662145853,5.4,0.005230623763054609,1.3
770207-19-M4,geo4,1977-02-07T19:02:44,C,1,0.0013200605753809214,0.004612819291651249,3.5,0.004666691645979881,1.0
